Industry,Region,Month,Frequency,Year
Agricultural Machinery,Beijing,1,0,2015
Agricultural Machinery,Others,1,0,2015
Agricultural Machinery,Sichuan,1,0,2015
Agricultural Machinery,Tibet,1,0,2015
Biopharmaceuticals,Beijing,1,0,2015
Biopharmaceuticals,Henan,1,0,2015
Biopharmaceuticals,Jiangxi,1,0,2015
Biopharmaceuticals,Others,1,0,2015
Biopharmaceuticals,Shanghai,1,0,2015
Biopharmaceuticals,Tianjin,1,0,2015
Information Technology,Beijing,1,0,2015
Information Technology,Guangdong,1,0,2015
Information Technology,Guizhou,1,0,2015
Information Technology,Liaoning,1,0,2015
Information Technology,Others,1,1,2015
Information Technology,Shandong,1,0,2015
Information Technology,Shanghai,1,0,2015
Information Technology,Sichuan,1,0,2015
Information Technology,Tianjin,1,0,2015
Information Technology,Xinjiang,1,0,2015
New Energy Vehicles,Anhui,1,0,2015
New Energy Vehicles,Beijing,1,0,2015
New Energy Vehicles,Guangdong,1,0,2015
New Energy Vehicles,Hebei,1,1,2015
New Energy Vehicles,Heilongjiang,1,0,2015
New Energy Vehicles,Henan,1,0,2015
New Energy Vehicles,Jiangsu,1,0,2015
New Energy Vehicles,Jiangxi,1,0,2015
New Energy Vehicles,Others,1,1,2015
New Energy Vehicles,Shanghai,1,0,2015
New Materials,Beijing,1,0,2015
New Materials,Hebei,1,0,2015
New Materials,Henan,1,0,2015
New Materials,Jiangxi,1,0,2015
New Materials,Others,1,1,2015
New Materials,Shandong,1,0,2015
New Materials,Shanghai,1,0,2015
Ocean Engineering,Beijing,1,0,2015
Ocean Engineering,Liaoning,1,0,2015
Ocean Engineering,Others,1,0,2015
Ocean Engineering,Zhejiang,1,0,2015
Rail Transit,Beijing,1,1,2015
Rail Transit,Guangdong,1,0,2015
Rail Transit,Jiangxi,1,0,2015
Rail Transit,Others,1,0,2015
Rail Transit,Shanghai,1,0,2015
Rail Transit,Sichuan,1,0,2015
Rail Transit,Zhejiang,1,0,2015
Robotics,Anhui,1,0,2015
Robotics,Beijing,1,0,2015
Robotics,Chongqing,1,0,2015
Robotics,Guangdong,1,0,2015
Robotics,Heilongjiang,1,0,2015
Robotics,Henan,1,0,2015
Robotics,Jiangsu,1,0,2015
Robotics,Jiangxi,1,0,2015
Robotics,Liaoning,1,0,2015
Robotics,Others,1,0,2015
Robotics,Shandong,1,0,2015
Robotics,Shanghai,1,0,2015
Robotics,Sichuan,1,0,2015
Robotics,Tianjin,1,0,2015
Robotics,Xinjiang,1,0,2015
Robotics,Zhejiang,1,0,2015
Agricultural Machinery,Beijing,2,0,2015
Agricultural Machinery,Others,2,0,2015
Agricultural Machinery,Sichuan,2,0,2015
Agricultural Machinery,Tibet,2,0,2015
Biopharmaceuticals,Beijing,2,0,2015
Biopharmaceuticals,Henan,2,0,2015
Biopharmaceuticals,Jiangxi,2,0,2015
Biopharmaceuticals,Others,2,0,2015
Biopharmaceuticals,Shanghai,2,1,2015
Biopharmaceuticals,Tianjin,2,0,2015
Information Technology,Beijing,2,0,2015
Information Technology,Guangdong,2,0,2015
Information Technology,Guizhou,2,1,2015
Information Technology,Liaoning,2,0,2015
Information Technology,Others,2,0,2015
Information Technology,Shandong,2,0,2015
Information Technology,Shanghai,2,0,2015
Information Technology,Sichuan,2,0,2015
Information Technology,Tianjin,2,1,2015
Information Technology,Xinjiang,2,0,2015
New Energy Vehicles,Anhui,2,0,2015
New Energy Vehicles,Beijing,2,0,2015
New Energy Vehicles,Guangdong,2,0,2015
New Energy Vehicles,Hebei,2,0,2015
New Energy Vehicles,Heilongjiang,2,0,2015
New Energy Vehicles,Henan,2,0,2015
New Energy Vehicles,Jiangsu,2,0,2015
New Energy Vehicles,Jiangxi,2,0,2015
New Energy Vehicles,Others,2,0,2015
New Energy Vehicles,Shanghai,2,1,2015
New Materials,Beijing,2,0,2015
