Word,month,frequency,year
信息技术,1,1,2015
农业机械,1,0,2015
新材料,1,1,2015
新能源汽车,1,2,2015
机器人,1,0,2015
海洋工程,1,0,2015
生物医药,1,0,2015
电力,1,7,2015
航天,1,3,2015
轨道交通,1,1,2015
信息技术,2,2,2015
农业机械,2,0,2015
新材料,2,0,2015
新能源汽车,2,1,2015
机器人,2,1,2015
海洋工程,2,0,2015
生物医药,2,1,2015
电力,2,3,2015
航天,2,4,2015
轨道交通,2,0,2015
信息技术,3,2,2015
农业机械,3,2,2015
新材料,3,2,2015
新能源汽车,3,2,2015
机器人,3,5,2015
海洋工程,3,2,2015
生物医药,3,2,2015
电力,3,10,2015
航天,3,5,2015
轨道交通,3,3,2015
信息技术,4,4,2015
农业机械,4,1,2015
新材料,4,1,2015
新能源汽车,4,0,2015
机器人,4,3,2015
海洋工程,4,0,2015
生物医药,4,2,2015
电力,4,10,2015
航天,4,7,2015
轨道交通,4,1,2015
信息技术,5,6,2015
农业机械,5,0,2015
新材料,5,2,2015
新能源汽车,5,1,2015
机器人,5,2,2015
海洋工程,5,3,2015
生物医药,5,1,2015
电力,5,16,2015
航天,5,8,2015
轨道交通,5,7,2015
信息技术,6,2,2015
农业机械,6,0,2015
新材料,6,2,2015
新能源汽车,6,0,2015
机器人,6,7,2015
海洋工程,6,0,2015
生物医药,6,0,2015
电力,6,6,2015
航天,6,9,2015
轨道交通,6,4,2015
信息技术,7,1,2015
农业机械,7,2,2015
新材料,7,0,2015
新能源汽车,7,0,2015
机器人,7,5,2015
海洋工程,7,0,2015
生物医药,7,2,2015
电力,7,9,2015
航天,7,14,2015
轨道交通,7,4,2015
信息技术,8,2,2015
农业机械,8,0,2015
新材料,8,1,2015
新能源汽车,8,1,2015
机器人,8,5,2015
海洋工程,8,0,2015
生物医药,8,1,2015
电力,8,8,2015
航天,8,6,2015
轨道交通,8,1,2015
信息技术,9,5,2015
农业机械,9,0,2015
新材料,9,1,2015
新能源汽车,9,3,2015
机器人,9,3,2015
海洋工程,9,1,2015
生物医药,9,0,2015
电力,9,10,2015
航天,9,6,2015
轨道交通,9,3,2015
信息技术,10,3,2015
农业机械,10,0,2015
新材料,10,2,2015
新能源汽车,10,4,2015
机器人,10,3,2015
海洋工程,10,0,2015
生物医药,10,2,2015
电力,10,6,2015
航天,10,12,2015
轨道交通,10,0,2015
信息技术,11,3,2015
农业机械,11,0,2015
新材料,11,1,2015
新能源汽车,11,1,2015
机器人,11,2,2015
海洋工程,11,1,2015
生物医药,11,1,2015
电力,11,10,2015
航天,11,5,2015
轨道交通,11,0,2015
信息技术,12,4,2015
农业机械,12,0,2015
新材料,12,1,2015
新能源汽车,12,1,2015
机器人,12,4,2015
海洋工程,12,0,2015
生物医药,12,2,2015
电力,12,14,2015
航天,12,6,2015
轨道交通,12,0,2015
信息技术,1,1,2016
农业机械,1,0,2016
新材料,1,0,2016
新能源汽车,1,1,2016
机器人,1,3,2016
海洋工程,1,0,2016
生物医药,1,0,2016
电力,1,12,2016
航天,1,11,2016
轨道交通,1,2,2016
信息技术,2,0,2016
农业机械,2,0,2016
新材料,2,0,2016
新能源汽车,2,3,2016
机器人,2,2,2016
海洋工程,2,1,2016
生物医药,2,3,2016
电力,2,7,2016
航天,2,7,2016
轨道交通,2,0,2016
信息技术,3,1,2016
农业机械,3,1,2016
新材料,3,2,2016
新能源汽车,3,2,2016
机器人,3,3,2016
海洋工程,3,1,2016
生物医药,3,1,2016
电力,3,8,2016
航天,3,3,2016
轨道交通,3,2,2016
信息技术,4,2,2016
农业机械,4,1,2016
新材料,4,1,2016
新能源汽车,4,1,2016
机器人,4,10,2016
海洋工程,4,0,2016
生物医药,4,2,2016
电力,4,11,2016
航天,4,12,2016
轨道交通,4,2,2016
信息技术,5,4,2016
农业机械,5,0,2016
新材料,5,2,2016
新能源汽车,5,1,2016
机器人,5,6,2016
海洋工程,5,0,2016
生物医药,5,1,2016
电力,5,10,2016
航天,5,15,2016
轨道交通,5,3,2016
信息技术,6,3,2016
农业机械,6,0,2016
新材料,6,3,2016
新能源汽车,6,3,2016
机器人,6,9,2016
海洋工程,6,0,2016
生物医药,6,0,2016
电力,6,9,2016
航天,6,12,2016
轨道交通,6,2,2016
信息技术,7,0,2016
农业机械,7,0,2016
新材料,7,1,2016
新能源汽车,7,4,2016
机器人,7,4,2016
海洋工程,7,0,2016
生物医药,7,1,2016
电力,7,4,2016
航天,7,9,2016
