Word,month,frequency,year
Information Technology,1,1,2015
Agricultural Machinery,1,0,2015
New Materials,1,1,2015
New Energy Vehicles,1,2,2015
Robotics,1,0,2015
Ocean Engineering,1,0,2015
Biopharmaceuticals,1,0,2015
Electric Power,1,7,2015
Aerospace,1,3,2015
Rail Transit,1,1,2015
Information Technology,2,2,2015
Agricultural Machinery,2,0,2015
New Materials,2,0,2015
New Energy Vehicles,2,1,2015
Robotics,2,1,2015
Ocean Engineering,2,0,2015
Biopharmaceuticals,2,1,2015
Electric Power,2,3,2015
Aerospace,2,4,2015
Rail Transit,2,0,2015
Information Technology,3,2,2015
Agricultural Machinery,3,2,2015
New Materials,3,2,2015
New Energy Vehicles,3,2,2015
Robotics,3,5,2015
Ocean Engineering,3,2,2015
Biopharmaceuticals,3,2,2015
Electric Power,3,10,2015
Aerospace,3,5,2015
Rail Transit,3,3,2015
Information Technology,4,4,2015
Agricultural Machinery,4,1,2015
New Materials,4,1,2015
New Energy Vehicles,4,0,2015
Robotics,4,3,2015
Ocean Engineering,4,0,2015
Biopharmaceuticals,4,2,2015
Electric Power,4,10,2015
Aerospace,4,7,2015
Rail Transit,4,1,2015
Information Technology,5,6,2015
Agricultural Machinery,5,0,2015
New Materials,5,2,2015
New Energy Vehicles,5,1,2015
Robotics,5,2,2015
Ocean Engineering,5,3,2015
Biopharmaceuticals,5,1,2015
Electric Power,5,16,2015
Aerospace,5,8,2015
Rail Transit,5,7,2015
Information Technology,6,2,2015
Agricultural Machinery,6,0,2015
New Materials,6,2,2015
New Energy Vehicles,6,0,2015
Robotics,6,7,2015
Ocean Engineering,6,0,2015
Biopharmaceuticals,6,0,2015
Electric Power,6,6,2015
Aerospace,6,9,2015
Rail Transit,6,4,2015
Information Technology,7,1,2015
Agricultural Machinery,7,2,2015
New Materials,7,0,2015
New Energy Vehicles,7,0,2015
Robotics,7,5,2015
Ocean Engineering,7,0,2015
Biopharmaceuticals,7,2,2015
Electric Power,7,9,2015
Aerospace,7,14,2015
Rail Transit,7,4,2015
Information Technology,8,2,2015
Agricultural Machinery,8,0,2015
New Materials,8,1,2015
New Energy Vehicles,8,1,2015
Robotics,8,5,2015
Ocean Engineering,8,0,2015
Biopharmaceuticals,8,1,2015
Electric Power,8,8,2015
Aerospace,8,6,2015
Rail Transit,8,1,2015
Information Technology,9,5,2015
Agricultural Machinery,9,0,2015
New Materials,9,1,2015
New Energy Vehicles,9,3,2015
Robotics,9,3,2015
Ocean Engineering,9,1,2015
Biopharmaceuticals,9,0,2015
Electric Power,9,10,2015
Aerospace,9,6,2015
Rail Transit,9,3,2015
Information Technology,10,3,2015
Agricultural Machinery,10,0,2015
New Materials,10,2,2015
New Energy Vehicles,10,4,2015
Robotics,10,3,2015
Ocean Engineering,10,0,2015
Biopharmaceuticals,10,2,2015
Electric Power,10,6,2015
Aerospace,10,12,2015
Rail Transit,10,0,2015
Information Technology,11,3,2015
Agricultural Machinery,11,0,2015
New Materials,11,1,2015
New Energy Vehicles,11,1,2015
Robotics,11,2,2015
Ocean Engineering,11,1,2015
Biopharmaceuticals,11,1,2015
Electric Power,11,10,2015
Aerospace,11,5,2015
Rail Transit,11,0,2015
Information Technology,12,4,2015
Agricultural Machinery,12,0,2015
New Materials,12,1,2015
New Energy Vehicles,12,1,2015
Robotics,12,4,2015
Ocean Engineering,12,0,2015
Biopharmaceuticals,12,2,2015
Electric Power,12,14,2015
Aerospace,12,6,2015
Rail Transit,12,0,2015
Information Technology,1,1,2016
Agricultural Machinery,1,0,2016
New Materials,1,0,2016
New Energy Vehicles,1,1,2016
Robotics,1,3,2016
Ocean Engineering,1,0,2016
Biopharmaceuticals,1,0,2016
Electric Power,1,12,2016
Aerospace,1,11,2016
Rail Transit,1,2,2016
Information Technology,2,0,2016
Agricultural Machinery,2,0,2016
New Materials,2,0,2016
New Energy Vehicles,2,3,2016
Robotics,2,2,2016
Ocean Engineering,2,1,2016
Biopharmaceuticals,2,3,2016
Electric Power,2,7,2016
Aerospace,2,7,2016
Rail Transit,2,0,2016
Information Technology,3,1,2016
Agricultural Machinery,3,1,2016
New Materials,3,2,2016
New Energy Vehicles,3,2,2016
Robotics,3,3,2016
Ocean Engineering,3,1,2016
Biopharmaceuticals,3,1,2016
Electric Power,3,8,2016
Aerospace,3,3,2016
Rail Transit,3,2,2016
Information Technology,4,2,2016
Agricultural Machinery,4,1,2016
New Materials,4,1,2016
New Energy Vehicles,4,1,2016
Robotics,4,10,2016
Ocean Engineering,4,0,2016
Biopharmaceuticals,4,2,2016
Electric Power,4,11,2016
Aerospace,4,12,2016
Rail Transit,4,2,2016
Information Technology,5,4,2016
Agricultural Machinery,5,0,2016
New Materials,5,2,2016
New Energy Vehicles,5,1,2016
Robotics,5,6,2016
Ocean Engineering,5,0,2016
Biopharmaceuticals,5,1,2016
Electric Power,5,10,2016
Aerospace,5,15,2016
Rail Transit,5,3,2016
Information Technology,6,3,2016
Agricultural Machinery,6,0,2016
New Materials,6,3,2016
New Energy Vehicles,6,3,2016
Robotics,6,9,2016
Ocean Engineering,6,0,2016
Biopharmaceuticals,6,0,2016
Electric Power,6,9,2016
Aerospace,6,12,2016
Rail Transit,6,2,2016
Information Technology,7,0,2016
Agricultural Machinery,7,0,2016
New Materials,7,1,2016
New Energy Vehicles,7,4,2016
Robotics,7,4,2016
Ocean Engineering,7,0,2016
Biopharmaceuticals,7,1,2016
Electric Power,7,4,2016
Aerospace,7,9,2016
Rail Transit,7,1,2016
Information Technology,8,3,2016
Agricultural Machinery,8,0,2016
New Materials,8,5,2016
New Energy Vehicles,8,2,2016
Robotics,8,4,2016
Ocean Engineering,8,0,2016
Biopharmaceuticals,8,4,2016
Electric Power,8,11,2016
Aerospace,8,10,2016
Rail Transit,8,2,2016
Information Technology,9,3,2016
Agricultural Machinery,9,0,2016
New Materials,9,2,2016
New Energy Vehicles,9,2,2016
Robotics,9,2,2016
Ocean Engineering,9,0,2016
Biopharmaceuticals,9,2,2016
Electric Power,9,6,2016
Aerospace,9,11,2016
Rail Transit,9,1,2016
Information Technology,10,2,2016
Agricultural Machinery,10,0,2016
New Materials,10,1,2016
New Energy Vehicles,10,0,2016
Robotics,10,5,2016
Ocean Engineering,10,0,2016
Biopharmaceuticals,10,0,2016
Electric Power,10,8,2016
Aerospace,10,18,2016
Rail Transit,10,2,2016
Information Technology,11,4,2016
Agricultural Machinery,11,0,2016
New Materials,11,1,2016
New Energy Vehicles,11,1,2016
Robotics,11,1,2016
Ocean Engineering,11,0,2016
Biopharmaceuticals,11,0,2016
Electric Power,11,7,2016
Aerospace,11,19,2016
Rail Transit,11,3,2016
Information Technology,12,4,2016
Agricultural Machinery,12,0,2016
New Materials,12,1,2016
New Energy Vehicles,12,0,2016
Robotics,12,2,2016
Ocean Engineering,12,0,2016
Biopharmaceuticals,12,1,2016
Electric Power,12,5,2016
Aerospace,12,11,2016
Rail Transit,12,3,2016
Information Technology,1,0,2017
Agricultural Machinery,1,0,2017
New Materials,1,0,2017
New Energy Vehicles,1,0,2017
Robotics,1,4,2017
Ocean Engineering,1,0,2017
Biopharmaceuticals,1,1,2017
Electric Power,1,5,2017
Aerospace,1,6,2017
Rail Transit,1,2,2017
Information Technology,2,1,2017
Agricultural Machinery,2,1,2017
New Materials,2,1,2017
New Energy Vehicles,2,1,2017
Robotics,2,6,2017
Ocean Engineering,2,1,2017
Biopharmaceuticals,2,0,2017
Electric Power,2,6,2017
Aerospace,2,11,2017
Rail Transit,2,1,2017
Information Technology,3,2,2017
Agricultural Machinery,3,0,2017
New Materials,3,0,2017
New Energy Vehicles,3,2,2017
Robotics,3,3,2017
Ocean Engineering,3,0,2017
Biopharmaceuticals,3,4,2017
Electric Power,3,10,2017
Aerospace,3,6,2017
Rail Transit,3,0,2017
Information Technology,4,3,2017
Agricultural Machinery,4,0,2017
New Materials,4,1,2017
New Energy Vehicles,4,2,2017
Robotics,4,2,2017
Ocean Engineering,4,1,2017
Biopharmaceuticals,4,2,2017
Electric Power,4,14,2017
Aerospace,4,14,2017
Rail Transit,4,3,2017
Information Technology,5,0,2017
Agricultural Machinery,5,0,2017
New Materials,5,3,2017
New Energy Vehicles,5,0,2017
Robotics,5,2,2017
Ocean Engineering,5,0,2017
Biopharmaceuticals,5,1,2017
Electric Power,5,13,2017
Aerospace,5,8,2017
Rail Transit,5,1,2017
Information Technology,6,1,2017
Agricultural Machinery,6,0,2017
New Materials,6,2,2017
New Energy Vehicles,6,3,2017
Robotics,6,2,2017
Ocean Engineering,6,1,2017
Biopharmaceuticals,6,1,2017
Electric Power,6,7,2017
Aerospace,6,12,2017
Rail Transit,6,6,2017
Information Technology,7,1,2017
Agricultural Machinery,7,0,2017
New Materials,7,0,2017
New Energy Vehicles,7,1,2017
Robotics,7,5,2017
Ocean Engineering,7,0,2017
Biopharmaceuticals,7,1,2017
Electric Power,7,17,2017
Aerospace,7,8,2017
Rail Transit,7,1,2017
Information Technology,8,0,2017
Agricultural Machinery,8,0,2017
New Materials,8,0,2017
New Energy Vehicles,8,3,2017
Robotics,8,4,2017
Ocean Engineering,8,1,2017
Biopharmaceuticals,8,0,2017
Electric Power,8,11,2017
Aerospace,8,8,2017
Rail Transit,8,2,2017
Information Technology,9,2,2017
Agricultural Machinery,9,1,2017
New Materials,9,2,2017
New Energy Vehicles,9,0,2017
Robotics,9,4,2017
Ocean Engineering,9,1,2017
Biopharmaceuticals,9,0,2017
Electric Power,9,17,2017
Aerospace,9,6,2017
Rail Transit,9,1,2017
Information Technology,10,0,2017
Agricultural Machinery,10,0,2017
New Materials,10,0,2017
New Energy Vehicles,10,2,2017
Robotics,10,2,2017
Ocean Engineering,10,0,2017
Biopharmaceuticals,10,0,2017
Electric Power,10,3,2017
Aerospace,10,7,2017
Rail Transit,10,2,2017
Information Technology,11,3,2017
Agricultural Machinery,11,1,2017
New Materials,11,1,2017
New Energy Vehicles,11,3,2017
Robotics,11,2,2017
Ocean Engineering,11,0,2017
Biopharmaceuticals,11,0,2017
Electric Power,11,12,2017
Aerospace,11,8,2017
Rail Transit,11,0,2017
Information Technology,12,5,2017
Agricultural Machinery,12,0,2017
New Materials,12,1,2017
New Energy Vehicles,12,1,2017
Robotics,12,5,2017
Ocean Engineering,12,0,2017
Biopharmaceuticals,12,1,2017
Electric Power,12,11,2017
Aerospace,12,4,2017
Rail Transit,12,1,2017
Information Technology,1,3,2018
Agricultural Machinery,1,1,2018
New Materials,1,1,2018
New Energy Vehicles,1,3,2018
Robotics,1,2,2018
Ocean Engineering,1,0,2018
Biopharmaceuticals,1,2,2018
Electric Power,1,14,2018
Aerospace,1,13,2018
Rail Transit,1,2,2018
Information Technology,2,2,2018
Agricultural Machinery,2,0,2018
New Materials,2,3,2018
New Energy Vehicles,2,0,2018
Robotics,2,1,2018
Ocean Engineering,2,0,2018
Biopharmaceuticals,2,0,2018
Electric Power,2,3,2018
Aerospace,2,7,2018
Rail Transit,2,0,2018
Information Technology,3,5,2018
Agricultural Machinery,3,0,2018
New Materials,3,4,2018
New Energy Vehicles,3,2,2018
Robotics,3,2,2018
Ocean Engineering,3,0,2018
Biopharmaceuticals,3,2,2018
Electric Power,3,5,2018
Aerospace,3,9,2018
Rail Transit,3,1,2018
Information Technology,4,6,2018
Agricultural Machinery,4,0,2018
New Materials,4,1,2018
New Energy Vehicles,4,1,2018
